"","danceability","energy","loudness","tempo","valence"
"1504",0.409,0.375,-6.195,128.912,0.209
"1505",0.665,0.274,-8.915,103.013,0.686
"1506",0.391,0.442,-8.076,142.56,0.246
"1507",0.67,0.294,-8.114,119.856,0.515
"1508",0.637,0.129,-17.082,125.802,0.298
"1509",0.655,0.127,-11.036,150.407,0.436
"1510",0.729,0.546,-9.305,119.941,0.406
"1511",0.88,0.245,-10.245,76.006,0.638
"1512",0.344,0.46,-9.399,84.469,0.528
"1513",0.684,0.342,-6.09,114.076,0.632
"1514",0.843,0.4,-5.576,100.728,0.927
"1515",0.209,0.412,-9.733,86.26,0.162
"1516",0.556,0.448,-10.921,116.292,0.125
"1517",0.468,0.197,-11.727,144.212,0.249
"1518",0.583,0.235,-10.121,137.829,0.368
"1519",0.335,0.443,-9.565,169.135,0.184
"1520",0.632,0.293,-12.507,103.869,0.586
"1521",0.5,0.213,-9.095,140.053,0.37
"1522",0.539,0.263,-11.149,119.671,0.222
"1523",0.811,0.38,-6.235,98.04,0.647
"1524",0.701,0.234,-10.441,84.995,0.298
"1525",0.597,0.425,-5.513,119.998,0.309
"1526",0.307,0.353,-9.965,174.927,0.199
"1527",0.376,0.371,-6.58,90.514,0.395
"1528",0.457,0.441,-9.866,171.758,0.654
"1529",0.643,0.46,-6.963,90.011,0.657
"1530",0.485,0.307,-13.129,80.171,0.132
"1531",0.573,0.206,-10.707,123.752,0.222
"1532",0.485,0.353,-11.212,114.064,0.0706
"1533",0.604,0.261,-7.736,77.245,0.361
"1534",0.467,0.324,-11.487,100.89,0.445
"1535",0.487,0.0746,-12.952,106.328,0.123
"1536",0.73,0.286,-8.277,83.98,0.446
"1537",0.393,0.553,-6.719,187.673,0.164
"1538",0.411,0.512,-7.491,83.399,0.0544
"1539",0.579,0.256,-8.306,109.901,0.258
"1540",0.69,0.407,-7.739,111.916,0.181
"1541",0.533,0.679,-8.346,87.995,0.21
"1542",0.87,0.572,-7.667,119.98,0.854
"1543",0.579,0.268,-5.65,205.903,0.321
"1544",0.393,0.558,-9.429,112.64,0.336
"1545",0.556,0.592,-7.121,138.041,0.196
"1546",0.728,0.253,-8.427,140.923,0.457
"1547",0.884,0.469,-9.852,94.345,0.897
"1548",0.446,0.388,-6.201,175.154,0.581
"1549",0.373,0.216,-11.41,129.03,0.496
"1550",0.555,0.463,-7.994,88.399,0.661
"1551",0.505,0.252,-10.169,80.83,0.393
"1552",0.484,0.731,-6.694,101.654,0.51
"1553",0.566,0.664,-5.303,128.945,0.437
"1554",0.685,0.466,-9.074,79.936,0.353
"1555",0.642,0.289,-9.918,84.996,0.407
"1556",0.479,0.545,-7.346,74.897,0.244
"1557",0.717,0.455,-8.303,127.81,0.389
"1558",0.64,0.743,-4.08,122.035,0.361
"1559",0.576,0.267,-5.668,205.888,0.326
"1560",0.559,0.345,-13.496,84.581,0.458
"1561",0.614,0.379,-10.48,107.989,0.201
"1562",0.508,0.72,-5.908,79.983,0.472
"1563",0.864,0.474,-8.41,111.952,0.602
"1564",0.545,0.485,-9.941,80.401,0.341
"1565",0.736,0.847,-4.287,143.996,0.915
"1566",0.563,0.592,-4.571,104.016,0.136
"1567",0.686,0.457,-8.322,150.953,0.718
"1568",0.3,0.707,-6.585,105.916,0.386
"1569",0.632,0.518,-6.126,90.007,0.427
"1570",0.63,0.698,-4.51,94.023,0.529
"1571",0.714,0.533,-10.405,118.107,0.631
"1572",0.638,0.656,-5.886,104.036,0.225
"1573",0.46,0.786,-5.238,103.192,0.408
"1574",0.645,0.792,-7.34,90.565,0.666
"1575",0.542,0.589,-6.623,111.665,0.137
"1576",0.432,0.895,-3.682,104.458,0.625
"1577",0.429,0.661,-7.227,173.365,0.285
"1578",0.546,0.814,-5.146,104.98,0.146
"1579",0.295,0.523,-6.63,149.622,0.264
"1580",0.843,0.4,-5.576,100.728,0.927
"1581",0.379,0.325,-5.862,89.798,0.433
"1582",0.5,0.213,-9.095,140.053,0.37
"1583",0.545,0.582,-7.377,147.082,0.536
"1584",0.668,0.361,-8.69,134.15,0.288
"1585",0.576,0.486,-9.364,141.951,0.337
"1586",0.404,0.571,-5.069,147.01,0.29
"1587",0.781,0.445,-6.061,78.998,0.591
"1588",0.582,0.253,-11.43,90.184,0.294
"1589",0.672,0.623,-5.699,92.018,0.617
"1590",0.461,0.446,-7.703,139.868,0.375
"1591",0.675,0.479,-9.87,81.998,0.454
"1592",0.447,0.662,-4.221,172.015,0.307
"1593",0.592,0.729,-4.156,116.03,0.709
"1594",0.558,0.719,-5.113,112.027,0.371
"1595",0.614,0.509,-9.244,98.137,0.593
"1596",0.561,0.547,-7.496,139.755,0.19
"1597",0.647,0.729,-6.251,94.01,0.687
"1598",0.342,0.2,-13.569,133.113,0.0743
"1599",0.481,0.766,-5.208,131.143,0.436
"1600",0.866,0.347,-9.553,110.063,0.616
"1601",0.623,0.417,-8.699,130.032,0.721
"1602",0.373,0.991,-2.101,197.973,0.316
"1603",0.569,0.986,-4.027,108.001,0.403
"1604",0.521,0.913,-3.948,140.059,0.542
"1605",0.475,0.971,-2.755,90.52,0.348
"1606",0.44,0.916,-4.222,124.099,0.401
"1607",0.31,0.825,-4.53,89.885,0.475
"1608",0.54,0.967,-4.174,136.896,0.293
"1609",0.554,0.938,-4.901,96.5,0.4
"1610",0.59,0.969,-3.396,105.022,0.223
"1611",0.502,0.817,-3.508,90.024,0.617
"1612",0.482,0.946,-3.231,135.071,0.287
"1613",0.27,0.964,-4.545,99.731,0.325
"1614",0.558,0.953,-4.705,95,0.75
"1615",0.524,0.843,-5.578,85.993,0.212
"1616",0.491,0.87,-4.327,103.072,0.21
"1617",0.427,0.959,-4.67,84.979,0.398
"1618",0.56,0.885,-5.631,102.003,0.312
"1619",0.513,0.973,-4.115,121.018,0.159
"1620",0.55,0.917,-4.575,109.552,0.245
"1621",0.466,0.954,-5.077,198.049,0.325
"1622",0.414,0.987,-1.691,157.924,0.255
"1623",0.528,0.976,-2.188,100.082,0.511
"1624",0.377,0.971,-3.316,140.025,0.326
"1625",0.223,0.891,-4.918,170.6,0.558
"1626",0.377,0.975,-4.31,163.168,0.311
"1627",0.539,0.909,-5.741,115.977,0.627
"1628",0.356,0.995,-3.366,183.985,0.167
"1629",0.585,0.975,-3.891,112.506,0.298
"1630",0.374,0.971,-4.284,97.625,0.701
"1631",0.43,0.704,-8.008,118.242,0.703
"1632",0.568,0.907,-4.641,112.037,0.337
"1633",0.496,0.915,-4.853,100.031,0.346
"1634",0.354,0.943,-3.633,94.416,0.367
"1635",0.354,0.942,-3.245,119.992,0.242
"1636",0.522,0.944,-5.731,124.029,0.236
"1637",0.528,0.861,-4.309,95.02,0.591
"1638",0.53,0.977,-2.3,118.983,0.28
"1639",0.418,0.983,-3.716,161.077,0.394
"1640",0.526,0.903,-4.59,144.017,0.45
"1641",0.501,0.929,-2.669,104.969,0.442
"1642",0.52,0.948,-3.951,92.091,0.471
"1643",0.585,0.928,-4.939,104.007,0.547
"1644",0.485,0.987,-3.1,123.576,0.272
"1645",0.552,0.988,-2.555,139.941,0.619
"1646",0.571,0.954,-3.399,123.051,0.53
"1647",0.274,0.99,-3.329,93.515,0.533
"1648",0.367,0.972,-4.08,179.959,0.296
"1649",0.573,0.983,-4.006,105.067,0.447
"1650",0.529,0.92,-4.168,111.132,0.438
"1651",0.517,0.985,-3.291,111.883,0.212
"1652",0.415,0.945,-4.209,165.031,0.139
"1653",0.501,0.971,-3.051,143.052,0.659
"1654",0.418,0.907,-3.675,99.17,0.473
"1655",0.363,0.988,-3.207,89.944,0.0857
"1656",0.46,0.876,-5.39,164.992,0.499
"1657",0.497,0.978,-4.356,92.022,0.69
"1658",0.344,0.903,-5.018,175.158,0.218
"1659",0.212,0.97,-4.68,152.577,0.349
"1660",0.576,0.989,-1.909,135.093,0.352
"1661",0.487,0.987,-4.71,180.065,0.499
"1662",0.409,0.992,-2.803,149.859,0.344
"1663",0.5,0.947,-5.75,120.021,0.267
"1664",0.48,0.988,-3.229,124.041,0.252
"1665",0.341,0.912,-5.465,170.057,0.352
"1666",0.49,0.972,-4.518,95.012,0.376
"1667",0.295,0.924,-3.407,171.941,0.219
"1668",0.755,0.806,-4.618,98.008,0.892
"1669",0.833,0.804,-3.742,106.005,0.63
"1670",0.836,0.614,-4.543,101.97,0.603
"1671",0.853,0.822,-5.917,102.82,0.62
"1672",0.873,0.651,-6.415,106.036,0.833
"1673",0.841,0.644,-3.284,108.003,0.881
"1674",0.793,0.721,-5.256,107.978,0.519
"1675",0.788,0.721,-4.577,105.23,0.653
"1676",0.82,0.605,-7.676,110.011,0.643
"1677",0.728,0.811,-4.278,114.995,0.705
"1678",0.825,0.453,-7.429,99.974,0.496
"1679",0.815,0.876,-2.891,104.981,0.898
"1680",0.819,0.839,-3.663,98.968,0.81
"1681",0.796,0.61,-5.857,103.99,0.391
"1682",0.889,0.728,-6.995,120.016,0.767
"1683",0.793,0.726,-6.693,105.059,0.902
"1684",0.895,0.956,-2.599,100.03,0.814
"1685",0.644,0.748,-5.862,100.037,0.901
"1686",0.851,0.77,-5.667,125.006,0.658
"1687",0.786,0.77,-4.884,122.997,0.891
"1688",0.706,0.966,-1.266,124.003,0.97
"1689",0.777,0.897,-2.871,126.018,0.964
"1690",0.819,0.89,-2.265,130.044,0.964
"1691",0.646,0.978,-2.663,118.004,0.789
"1692",0.698,0.944,-2.48,122.183,0.915
"1693",0.52,0.717,-3.006,135.55,0.704
"1694",0.697,0.841,-6.782,103.07,0.808
"1695",0.665,0.806,-5.622,124.99,0.421
"1696",0.879,0.737,-5.412,119.99,0.967
"1697",0.746,0.841,-5.282,121.043,0.707
"1698",0.613,0.951,-2.305,104.427,0.93
"1699",0.81,0.584,-6.271,99.981,0.841
"1700",0.905,0.894,-6.178,127.006,0.185
"1701",0.809,0.573,-6.939,123.961,0.71
"1702",0.936,0.69,-6.533,126.027,0.545
"1703",0.506,0.822,-3.348,203.276,0.738
"1704",0.445,0.73,-5.68,100.462,0.651
"1705",0.87,0.673,-6.595,112.01,0.51
"1706",0.788,0.721,-4.577,105.23,0.653
"1707",0.708,0.767,-4.368,124.453,0.853
"1708",0.903,0.781,-5.465,125.01,0.758
"1709",0.819,0.839,-3.663,98.968,0.81
"1710",0.553,0.553,-6.818,72.949,0.664
"1711",0.966,0.633,-6.392,108.011,0.767
"1712",0.828,0.844,-3.447,120.989,0.858
"1713",0.664,0.623,-5.357,180.183,0.65
"1714",0.849,0.92,-4.191,126.038,0.71
"1715",0.428,0.904,-4.189,199.869,0.834
"1716",0.678,0.735,-4.725,100.002,0.386
"1717",0.902,0.845,-2.695,112.005,0.625
"1718",0.707,0.443,-7.401,94.001,0.293
"1719",0.94,0.713,-6.766,125.013,0.39
"1720",0.881,0.862,-4.974,123.062,0.213
"1721",0.79,0.699,-6.427,105.04,0.771
"1722",0.799,0.752,-11.465,126.018,0.613
"1723",0.793,0.607,-8.511,103.033,0.564
"1724",0.895,0.751,-6.373,126.053,0.768
"1725",0.893,0.485,-5.41,99.927,0.818
"1726",0.801,0.623,-7.861,104.985,0.801
"1727",0.855,0.872,-4.09,130.998,0.96
"1728",0.683,0.489,-5.542,109.939,0.798
"1729",0.883,0.523,-5.954,105.031,0.732
"1730",0.601,0.681,-5.171,98.078,0.546
"1731",0.743,0.7,-6.108,125.048,0.678
"1732",0.789,0.864,-2.848,124.166,0.814
"1733",0.605,0.938,-1.197,199.887,0.734
"1734",0.684,0.852,-5.411,107.9,0.687
"1735",0.796,0.676,-6.51,112.019,0.733
"1736",0.807,0.584,-4.987,105.072,0.854
"1737",0.429,0.922,-4.176,213.226,0.93
"1738",0.728,0.823,-6.015,119.931,0.795
"1739",0.784,0.882,-4.8,124.041,0.955
"1740",0.766,0.867,-3.657,110.096,0.809
"1741",0.822,0.867,-8.079,125.008,0.76
"1742",0.835,0.74,-3.838,108.018,0.954
"1743",0.884,0.521,-6.876,99.914,0.536
"1744",0.802,0.71,-4.193,114.041,0.826
"1745",0.815,0.876,-2.891,104.981,0.898
"1746",0.549,0.562,-10.664,83.463,0.861
"1747",0.634,0.713,-6.619,120.286,0.593
"1748",0.845,0.668,-6.702,106.017,0.721
"1749",0.629,0.601,-7.508,199.921,0.612
"1750",0.853,0.822,-5.917,102.82,0.62
"1751",0.665,0.799,-3.244,206.007,0.806
"1752",0.882,0.565,-6.944,123.943,0.911
"1753",0.765,0.948,-8.573,124.017,0.811
"1754",0.951,0.661,-2.678,104.997,0.926
"1755",0.796,0.781,-5.624,121.995,0.571
"1756",0.704,0.942,-5.115,131.69,0.584
"1757",0.691,0.631,-7.239,93.984,0.577
"1758",0.519,0.36,-8.575,97.42,0.7
"1759",0.726,0.751,-6.758,127.034,0.859
"1760",0.594,0.433,-7.347,128.918,0.202
"1761",0.533,0.61,-7.037,204.308,0.734
"1762",0.426,0.313,-7.774,77.483,0.416
"1763",0.598,0.828,-4.18,130.064,0.743
"1764",0.751,0.599,-8.087,82.031,0.966
"1765",0.256,0.137,-10.338,70.692,0.143
"1766",0.603,0.792,-4.779,142.973,0.817
"1767",0.49,0.526,-6.559,135.178,0.381
"1768",0.665,0.664,-5.505,76.968,0.599
"1769",0.543,0.556,-5.379,100.998,0.736
"1770",0.717,0.621,-7.588,133.014,0.72
"1771",0.612,0.655,-6.249,107.565,0.729
"1772",0.675,0.744,-5.788,94.028,0.547
"1773",0.513,0.559,-7.103,135.943,0.548
"1774",0.473,0.604,-4.034,123.857,0.271
"1775",0.577,0.499,-5.586,125.492,0.706
"1776",0.657,0.852,-6.186,143.004,0.79
"1777",0.927,0.329,-13.676,129.998,0.791
"1778",0.418,0.334,-7.38,76.075,0.229
"1779",0.724,0.66,-8.046,108.19,0.756
"1780",0.464,0.717,-5.935,95.187,0.681
"1781",0.574,0.525,-7.257,112.948,0.465
"1782",0.691,0.581,-9.671,129.972,0.752
"1783",0.604,0.512,-5.045,78.53,0.673
"1784",0.712,0.554,-6.672,116.91,0.369
"1785",0.376,0.521,-7.673,122.817,0.19
"1786",0.761,0.814,-5.08,127.056,0.547
"1787",0.56,0.761,-6.407,85.483,0.686
"1788",0.497,0.6,-7.677,134.993,0.426
"1789",0.491,0.389,-4.492,130.201,0.389
"1790",0.437,0.878,-3.876,79.474,0.621
"1791",0.331,0.262,-8.615,129.674,0.203
"1792",0.337,0.791,-7.826,173.899,0.228
"1793",0.294,0.158,-15.491,99.75,0.0869
"1794",0.563,0.311,-9.18,132.199,0.207
"1795",0.763,0.615,-9.026,120.018,0.806
"1796",0.477,0.691,-5.784,105.335,0.275
"1797",0.292,0.27,-12.131,67.013,0.205
"1798",0.222,0.431,-6.977,174.042,0.211
"1799",0.546,0.431,-8.41,93.952,0.12
"1800",0.521,0.823,-6.147,116.553,0.665
"1801",0.539,0.685,-5.157,123.955,0.538
"1802",0.673,0.793,-5.028,128.046,0.847
"1803",0.438,0.653,-7.2,108.36,0.311
"1804",0.666,0.721,-5.848,120.081,0.492
"1805",0.358,0.807,-3.75,79.069,0.51
"1806",0.584,0.805,-4.057,74.938,0.89
"1807",0.714,0.503,-8.053,104.882,0.339
"1808",0.405,0.655,-6.676,74.805,0.267
"1809",0.781,0.427,-8.373,127.892,0.764
"1810",0.832,0.673,-6.478,124.987,0.84
"1811",0.57,0.464,-5.916,121.969,0.633
"1812",0.795,0.636,-5.874,87.552,0.952
"1813",0.318,0.841,-4.926,165.634,0.753
"1814",0.697,0.564,-3.772,108.048,0.767
"1815",0.642,0.703,-6.927,133.968,0.304
"1816",0.768,0.611,-5.708,94.17,0.408
"1817",0.585,0.56,-7.992,167.903,0.586
"1818",0.715,0.829,-5.342,89.986,0.671
"1819",0.671,0.81,-4.145,93.823,0.322
"1820",0.828,0.69,-5.732,95.997,0.832
"1821",0.53,0.58,-8.428,127.3,0.595
"1822",0.629,0.642,-8.882,91.127,0.711
"1823",0.68,0.753,-8.32,145.142,0.736
"1824",0.683,0.605,-8.566,77.49,0.506
"1825",0.861,0.693,-5.507,128.992,0.802
"1826",0.801,0.567,-8.098,135.06,0.518
"1827",0.886,0.57,-7.353,132.001,0.538
"1828",0.793,0.639,-6.574,97.199,0.78
"1829",0.905,0.63,-5.326,128.032,0.91
"1830",0.751,0.576,-9.687,90.064,0.743
"1831",0.746,0.47,-10.47,79.063,0.425
"1832",0.465,0.749,-6.653,72.579,0.39
"1833",0.583,0.576,-6.295,129.627,0.71
"1834",0.661,0.684,-5.609,162.115,0.712
"1835",0.759,0.642,-10.477,120.01,0.716
"1836",0.755,0.923,-4.942,125.02,0.715
"1837",0.855,0.597,-7.756,119.961,0.183
"1838",0.748,0.531,-11.06,169.917,0.258
"1839",0.839,0.886,-5.118,109.979,0.037
"1840",0.711,0.675,-7.134,120.031,0.682
"1841",0.521,0.348,-10.12,94.804,0.622
"1842",0.711,0.702,-6.677,74.023,0.861
"1843",0.743,0.603,-7.639,114.988,0.714
"1844",0.621,0.627,-8.944,113.478,0.543
"1845",0.544,0.548,-10.116,77.737,0.325
"1846",0.709,0.686,-5.954,130.062,0.352
"1847",0.74,0.557,-7.368,129.895,0.836
"1848",0.588,0.641,-6.973,120.056,0.414
"1849",0.82,0.587,-8.681,129.244,0.856
"1850",0.717,0.719,-3.861,95.032,0.548
"1851",0.8,0.695,-8.215,85.006,0.515
"1852",0.47,0.668,-7.589,84.082,0.586
"1853",0.76,0.764,-4.487,89.967,0.429
"1854",0.751,0.614,-7.473,133.094,0.4
"1855",0.76,0.519,-10.719,110.017,0.392
"1856",0.796,0.452,-8.578,105.956,0.185
"1857",0.738,0.723,-8.464,84.968,0.492
"1858",0.779,0.584,-7.132,91.971,0.311
"1859",0.714,0.711,-6.985,158.085,0.761
"1860",0.749,0.444,-12.634,146,0.26
"1861",0.437,0.542,-9.516,66.112,0.0725
"1862",0.854,0.603,-8.608,86.982,0.244
"1863",0.906,0.569,-8.376,93.028,0.925
"1864",0.787,0.468,-9.14,89.992,0.609
"1865",0.646,0.72,-7.063,99.259,0.64
"1866",0.901,0.72,-2.826,90.059,0.795
"1867",0.701,0.728,-4.554,171.388,0.0591
"1868",0.49,0.725,-3.304,123.28,0.335
"1869",0.967,0.583,-5.562,117,0.964
"1870",0.778,0.824,-5.892,100.024,0.756
"1871",0.855,0.587,-4.589,111.97,0.64
"1872",0.652,0.698,-4.667,96.021,0.47
"1873",0.774,0.838,-3.914,143.04,0.924
"1874",0.719,0.967,-2.435,79.505,0.964
"1875",0.895,0.795,-4.693,105.004,0.574
"1876",0.835,0.687,-3.18,94.059,0.828
"1877",0.745,0.667,-6.781,120.046,0.633
"1878",0.875,0.631,-3.475,120.002,0.549
"1879",0.835,0.669,-5.582,122.668,0.542
"1880",0.851,0.806,-4.618,119.002,0.775
"1881",0.447,0.694,-4.637,175.868,0.509
"1882",0.741,0.748,-6.299,127.965,0.6
"1883",0.699,0.76,-3.173,129.996,0.696
"1884",0.72,0.666,-9.162,87.024,0.707
"1885",0.646,0.696,-5.572,92.88,0.625
"1886",0.698,0.722,-5.319,90.116,0.67
"1887",0.514,0.911,-2.027,161.109,0.619
"1888",0.714,0.868,-4.596,95.05,0.78
"1889",0.689,0.432,-9.394,151.079,0.747
"1890",0.466,0.759,-4.978,160.033,0.328
"1891",0.657,0.588,-6.005,118.022,0.105
"1892",0.725,0.534,-8.364,168.119,0.621
"1893",0.552,0.173,-10.576,76.97,0.0854
"1894",0.657,0.629,-4.938,93.985,0.726
"1895",0.926,0.916,-2.221,110.007,0.904
"1896",0.672,0.857,-4.915,138.153,0.685
"1897",0.571,0.87,-3.877,172.716,0.813
"1898",0.633,0.976,-5.362,142.027,0.493
"1899",0.583,0.829,-4.603,174.028,0.575
"1900",0.892,0.628,-3.832,92.063,0.676
"1901",0.469,0.132,-14.001,67.011,0.36
"1902",0.648,0.671,-8.49,122.891,0.533
"1903",0.451,0.931,-3.871,122.961,0.172
"1904",0.755,0.744,-5.042,97.923,0.819
"1905",0.496,0.879,-4.024,120.909,0.377
"1906",0.426,0.584,-5.293,193.437,0.272
"1907",0.524,0.711,-5.494,203.867,0.539
"1908",0.706,0.801,-6.333,100.013,0.63
"1909",0.582,0.758,-5.951,77.982,0.413
"1910",0.852,0.604,-4.569,94.762,0.667
"1911",0.835,0.833,-4.364,103.358,0.586
"1912",0.755,0.832,-4.869,95.044,0.888
"1913",0.664,0.741,-5.391,131.006,0.409
"1914",0.544,0.903,-5.651,153.629,0.432
"1915",0.509,0.537,-6.834,170.037,0.315
"1916",0.56,0.442,-7.224,146.448,0.212
"1917",0.753,0.931,-4.922,113.029,0.767
"1918",0.944,0.511,-10.96,113.046,0.842
"1919",0.508,0.72,-5.908,79.983,0.472
"1920",0.793,0.832,-4.861,107.647,0.865
"1921",0.583,0.786,-3.142,123.052,0.573
"1922",0.618,0.741,-3.95,118.984,0.296
"1923",0.62,0.832,-4.848,144.926,0.481
"1924",0.457,0.573,-3.866,76.193,0.0992
"1925",0.592,0.671,-6.609,73.983,0.572
"1926",0.891,0.714,-6.055,100.972,0.818
"1927",0.583,0.58,-5.395,139.82,0.119
"1928",0.695,0.919,-3.769,119.002,0.717
"1929",0.734,0.848,-5.285,117.31,0.863
"1930",0.531,0.864,-2.978,126.02,0.401
"1931",0.351,0.928,-3.71,148.03,0.239
"1932",0.485,0.619,-7.115,138.017,0.416
"1933",0.607,0.789,-8.87,100.351,0.16
"1934",0.635,0.647,-5.865,104.054,0.203
"1935",0.693,0.879,-3.988,127.457,0.753
"1936",0.843,0.805,-5.946,94.946,0.615
"1937",0.637,0.843,-5.413,109.012,0.434
"1938",0.658,0.863,-4.64,129.972,0.496
"1939",0.878,0.724,-5.373,121.906,0.904
"1940",0.824,0.743,-5.995,127.046,0.804
"1941",0.735,0.824,-4.143,100.202,0.726
"1942",0.745,0.466,-7.62,123.889,0.303
"1943",0.7,0.708,-4.952,122.031,0.619
"1944",0.566,0.825,-4.504,94.991,0.278
"1945",0.452,0.574,-8.336,92.791,0.58
"1946",0.675,0.885,-4.432,97.03,0.768
"1947",0.766,0.563,-7.516,126.007,0.964
"1948",0.427,0.9,-3.674,104.655,0.599
"1949",0.793,0.859,-3.774,129.912,0.964
"1950",0.567,0.795,-4.985,170.06,0.635
"1951",0.446,0.764,-5.042,172.094,0.543
"1952",0.513,0.661,-6.8,180.118,0.461
"1953",0.63,0.698,-4.51,94.023,0.529
"1954",0.732,0.198,-11.775,88.174,0.618
"1955",0.607,0.82,-7.754,126.988,0.768
"1956",0.555,0.717,-5.114,112.03,0.374
"1957",0.797,0.75,-9.369,177.87,0.74
"1958",0.64,0.889,-3.073,99.931,0.436
"1959",0.72,0.808,-5.627,126.041,0.869
"1960",0.571,0.708,-4.74,109.899,0.398
"1961",0.597,0.837,-6.518,126.342,0.447
"1962",0.706,0.841,-3.956,132.032,0.861
"1963",0.721,0.737,-2.734,97.996,0.931
"1964",0.659,0.812,-7.499,83.013,0.888
"1965",0.605,0.544,-11.37,115.779,0.797
"1966",0.529,0.806,-9.027,167.43,0.971
"1967",0.557,0.873,-9.129,166.189,0.967
"1968",0.651,0.528,-8.033,126.707,0.873
"1969",0.671,0.679,-11.237,166.726,0.82
"1970",0.454,0.838,-6.971,192.361,0.903
"1971",0.486,0.501,-8.57,122.894,0.942
"1972",0.635,0.672,-6.788,166.903,0.895
"1973",0.726,0.356,-10.091,123.885,0.75
"1974",0.564,0.493,-12.349,79.368,0.653
"1975",0.723,0.931,-5.528,92.684,0.806
"1976",0.564,0.283,-13.624,78.715,0.678
"1977",0.616,0.724,-8.101,81.402,0.809
"1978",0.681,0.69,-11.519,178.71,0.622
"1979",0.343,0.884,-4.123,177.751,0.94
"1980",0.556,0.61,-4.729,199.373,0.665
"1981",0.415,0.635,-8.982,183.665,0.842
"1982",0.43,0.738,-10.671,170.389,0.954
"1983",0.863,0.382,-14.34,105.766,0.744
"1984",0.526,0.774,-1.692,131.715,0.715
"1985",0.535,0.579,-6.156,75.75,0.743
"1986",0.562,0.414,-9.984,143.27,0.961
"1987",0.463,0.747,-7.559,159.661,0.861
"1988",0.491,0.431,-12.257,82.443,0.661
"1989",0.5,0.377,-5.895,114.055,0.607
"1990",0.458,0.89,-5.736,137.382,0.609
"1991",0.532,0.961,-4.056,90.647,0.753
"1992",0.603,0.755,-6.396,136.373,0.967
"1993",0.584,0.743,-7.039,132.747,0.815
"1994",0.439,0.458,-9.906,174.147,0.866
"1995",0.516,0.809,-6.419,75.099,0.939
"1996",0.579,0.557,-9.332,129.369,0.611
"1997",0.212,0.334,-12.196,141.071,0.638
"1998",0.377,0.626,-9.662,161.468,0.678
"1999",0.728,0.679,-5.78,101.601,0.869
"2000",0.622,0.645,-11.847,175.84,0.863
"2001",0.71,0.712,-6.299,128.758,0.911
"2002",0.678,0.683,-5.418,85.969,0.842
"2003",0.574,0.25,-10.307,96.74,0.443
"2004",0.721,0.82,-10.32,155.968,0.966
"2005",0.561,0.677,-11.36,153.19,0.698
"2006",0.693,0.324,-15.085,144.14,0.382
"2007",0.532,0.591,-3.81,184.4,0.962
"2008",0.741,0.666,-6.878,93.686,0.941
"2009",0.479,0.506,-8.175,136.662,0.83
"2010",0.484,0.681,-8.539,198.87,0.521
"2011",0.585,0.247,-12.612,127.15,0.591
"2012",0.505,0.155,-12.959,79.221,0.463
"2013",0.271,0.56,-8.915,168.423,0.78
"2014",0.591,0.582,-4.554,137.221,0.906
"2015",0.753,0.407,-10.386,118.314,0.522
"2016",0.565,0.962,-2.981,148.808,0.906
"2017",0.375,0.318,-9.923,76.638,0.358
"2018",0.674,0.371,-16.429,93.834,0.941
"2019",0.772,0.672,-6.653,125.227,0.694
"2020",0.559,0.78,-6.597,98.661,0.964
"2021",0.625,0.425,-9.962,80.024,0.829
"2022",0.547,0.523,-9.176,169.598,0.89
"2023",0.664,0.702,-11.841,156.987,0.737
"2024",0.419,0.449,-9.946,76.322,0.756
"2025",0.61,0.533,-7.324,124.29,0.842
"2026",0.607,0.561,-10.099,127.638,0.841
"2027",0.504,0.525,-7.636,83.734,0.927
"2028",0.417,0.732,-10.841,199.58,0.662
"2029",0.357,0.269,-9.981,57.304,0.221
"2030",0.582,0.517,-9.325,83.682,0.833
"2031",0.657,0.297,-15.141,148.357,0.647
"2032",0.605,0.845,-8.672,75.322,0.965
"2033",0.758,0.557,-10.106,140.795,0.887
"2034",0.323,0.273,-10.152,194.882,0.547
"2035",0.683,0.707,-8.415,89.61,0.678
"2036",0.544,0.459,-8.069,99.175,0.85
"2037",0.574,0.588,-8.101,131.368,0.942
"2038",0.554,0.186,-15.846,81.181,0.2
"2039",0.468,0.171,-10.905,86.525,0.357
"2040",0.491,0.583,-10.964,150.572,0.907
"2041",0.669,0.616,-10.776,130.037,0.818
"2042",0.726,0.881,-6.971,136.327,0.926
"2043",0.552,0.616,-9.785,112.442,0.667
"2044",0.438,0.805,-6.237,113.253,0.564
"2045",0.316,0.484,-9.11,117.363,0.299
"2046",0.6,0.546,-5.714,104.451,0.598
"2047",0.631,0.69,-6.676,94.574,0.938
"2048",0.66,0.512,-7.183,133.607,0.852
"2049",0.435,0.456,-10.305,107.529,0.529
"2050",0.526,0.775,-6.05,80.106,0.962
"2051",0.736,0.871,-2.786,122.395,0.967
"2052",0.511,0.769,-7.032,129.657,0.818
"2053",0.731,0.606,-8.092,170.831,0.964
"2054",0.533,0.376,-11.913,165.007,0.187
"2055",0.831,0.544,-9.288,108.177,0.856
"2056",0.539,0.406,-6.225,135.923,0.376
"2057",0.65,0.306,-9.443,118.068,0.605
"2058",0.643,0.669,-7.485,132.709,0.609
"2059",0.524,0.543,-9.889,128.091,0.877
"2060",0.604,0.461,-13.372,91.909,0.803
"2061",0.55,0.854,-5.968,159.231,0.965
"2062",0.392,0.629,-7.056,124.511,0.72
